CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Saldo_Atividade,Produtos_Idade,Score_Idade,Churn_Real,Churn_Previsto,Probabilidade_Churn
813,1,1,59,2,135078.41,1,1,0,187636.06,1,1,1,709,135078.41,0.01694915254237288,13.779661016949152,1,1,0.99993587
547,1,1,55,4,111362.76,3,1,0,16922.28,1,1,0,579,111362.76,0.05454545454545454,9.945454545454545,1,1,0.9999068
511,1,1,48,6,149726.08,1,0,0,88307.87,1,2,1,527,149726.08,0.020833333333333332,10.645833333333334,1,1,0.99990094
748,1,1,45,2,119852.01,1,0,0,73853.94,1,2,2,741,119852.01,0.022222222222222223,16.622222222222224,1,1,0.9998958
727,1,1,59,5,152581.06,1,1,0,71830.1,1,4,2,599,152581.06,0.01694915254237288,12.322033898305085,1,1,0.9998952
443,1,1,50,3,117206.3,1,1,0,42840.18,1,1,2,792,117206.3,0.02,8.86,1,1,0.9998902
720,1,1,60,9,115920.62,2,0,0,157552.08,1,1,2,274,115920.62,0.03333333333333333,12.0,1,1,0.99988866
487,1,0,61,5,110368.03,1,0,0,11384.45,1,2,0,982,110368.03,0.01639344262295082,7.983606557377049,1,1,0.9998871
663,2,1,52,0,136298.65,1,1,0,144593.3,1,2,3,548,136298.65,0.019230769230769232,12.75,1,1,0.99988484
697,1,1,43,8,103409.16,1,1,0,66893.28,1,2,1,593,103409.16,0.023255813953488372,16.209302325581394,1,1,0.9998821
518,1,1,46,4,113625.93,1,0,0,92727.42,1,2,3,734,113625.93,0.021739130434782608,11.26086956521739,1,1,0.99988186
622,1,0,58,7,116922.25,1,1,0,120415.61,1,2,1,475,116922.25,0.017241379310344827,10.724137931034482,1,1,0.9998765
793,1,1,54,2,128966.13,1,0,0,18633.4,1,5,3,835,128966.13,0.018518518518518517,14.685185185185185,1,1,0.9998745
763,0,0,53,4,0.0,1,1,0,77203.72,1,5,1,569,0.0,0.018867924528301886,14.39622641509434,1,1,0.99987066
794,1,1,57,3,117056.46,1,1,0,93336.93,1,3,1,669,117056.46,0.017543859649122806,13.929824561403509,1,1,0.99986875
705,1,0,56,2,143249.67,1,1,0,88428.41,1,3,2,613,143249.67,0.017857142857142856,12.589285714285714,1,1,0.99986494
758,1,1,68,6,112595.85,1,1,0,35865.44,1,4,1,843,112595.85,0.014705882352941176,11.147058823529411,1,1,0.9998523
841,1,0,52,3,112383.03,1,1,0,85516.37,1,4,2,778,112383.03,0.019230769230769232,16.173076923076923,1,1,0.9998456
749,0,0,60,6,0.0,1,1,0,17978.68,1,5,3,718,0.0,0.016666666666666666,12.483333333333333,1,1,0.99984515
559,0,1,49,2,147069.78,1,1,0,120540.83,1,1,0,245,147069.78,0.02040816326530612,11.408163265306122,1,1,0.99984133
625,1,0,49,4,128504.76,1,1,0,126812.63,1,2,3,583,128504.76,0.02040816326530612,12.755102040816327,1,1,0.9998398
788,1,0,49,4,137455.99,1,1,0,184178.29,1,1,3,423,137455.99,0.02040816326530612,16.081632653061224,1,1,0.99983966
659,0,0,50,3,0.0,1,1,0,183399.12,1,5,2,818,0.0,0.02,13.18,1,1,0.9998394
533,1,1,51,6,127545.56,2,0,0,79559.02,1,1,2,658,127545.56,0.0392156862745098,10.450980392156863,1,1,0.9998386
545,0,0,55,5,0.0,1,0,0,10034.77,1,5,0,524,0.0,0.01818181818181818,9.909090909090908,1,1,0.99983776
601,1,0,48,8,120782.7,1,1,0,63940.68,1,2,0,587,120782.7,0.020833333333333332,12.520833333333334,1,1,0.9998369
680,1,0,48,8,115115.38,1,1,0,139558.6,1,2,3,813,115115.38,0.020833333333333332,14.166666666666666,1,1,0.9998357
430,1,1,49,3,137115.16,1,1,0,146516.86,1,1,1,404,137115.16,0.02040816326530612,8.775510204081632,1,1,0.9998254
795,2,0,56,5,0.0,1,1,0,35418.69,1,5,2,675,0.0,0.017857142857142856,14.196428571428571,1,1,0.9998248
708,0,0,59,2,0.0,1,1,0,179673.11,1,4,3,421,0.0,0.01694915254237288,12.0,1,1,0.99981755
754,1,0,55,3,161608.81,1,1,0,8080.85,1,4,1,810,161608.81,0.01818181818181818,13.709090909090909,1,1,0.99981576
646,0,1,52,8,59669.43,1,0,0,172495.81,1,3,3,374,59669.43,0.019230769230769232,12.423076923076923,1,1,0.9998155
683,2,1,56,7,50911.21,3,0,0,97629.31,1,2,0,655,50911.21,0.05357142857142857,12.196428571428571,1,1,0.99981505
736,1,1,57,9,95295.39,1,1,0,28434.44,1,1,3,888,95295.39,0.017543859649122806,12.912280701754385,1,1,0.9998136
621,1,1,46,6,141078.37,1,0,0,34580.8,1,2,3,956,141078.37,0.021739130434782608,13.5,1,1,0.99981195
